home_team,away_team,home_goals,away_goals,result,season
Burnley FC,Manchester City FC,0.0,3.0,A,2023/2024
Arsenal FC,Nottingham Forest FC,2.0,1.0,H,2023/2024
AFC Bournemouth,West Ham United FC,1.0,1.0,D,2023/2024
Brighton & Hove Albion FC,Luton Town FC,4.0,1.0,H,2023/2024
Everton FC,Fulham FC,0.0,1.0,A,2023/2024
Sheffield United FC,Crystal Palace FC,0.0,1.0,A,2023/2024
Newcastle United FC,Aston Villa FC,5.0,1.0,H,2023/2024
Brentford FC,Tottenham Hotspur FC,2.0,2.0,D,2023/2024
Chelsea FC,Liverpool FC,1.0,1.0,D,2023/2024
Manchester United FC,Wolverhampton Wanderers FC,1.0,0.0,H,2023/2024
Nottingham Forest FC,Sheffield United FC,2.0,1.0,H,2023/2024
Fulham FC,Brentford FC,0.0,3.0,A,2023/2024
Liverpool FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Brighton & Hove Albion FC,1.0,4.0,A,2023/2024
Tottenham Hotspur FC,Manchester United FC,2.0,0.0,H,2023/2024
Manchester City FC,Newcastle United FC,1.0,0.0,H,2023/2024
Aston Villa FC,Everton FC,4.0,0.0,H,2023/2024
West Ham United FC,Chelsea FC,3.0,1.0,H,2023/2024
Crystal Palace FC,Arsenal FC,0.0,1.0,A,2023/2024
Chelsea FC,Luton Town FC,3.0,0.0,H,2023/2024
AFC Bournemouth,Tottenham Hotspur FC,0.0,2.0,A,2023/2024
Everton FC,Wolverhampton Wanderers FC,0.0,1.0,A,2023/2024
Manchester United FC,Nottingham Forest FC,3.0,2.0,H,2023/2024
Arsenal FC,Fulham FC,2.0,2.0,D,2023/2024
Brentford FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Brighton & Hove Albion FC,West Ham United FC,1.0,3.0,A,2023/2024
Sheffield United FC,Manchester City FC,1.0,2.0,A,2023/2024
Burnley FC,Aston Villa FC,1.0,3.0,A,2023/2024
Newcastle United FC,Liverpool FC,1.0,2.0,A,2023/2024
Luton Town FC,West Ham United FC,1.0,2.0,A,2023/2024
Sheffield United FC,Everton FC,2.0,2.0,D,2023/2024
